Dataset,NSE,KGE,KGE*,RMSE,mean_Yo,mean_Yp,sd_Yo,sd_Yp,rho,N,Normalized?
1,0.858271,-0.006,0.892,0.368787,0.0004,0,0.999794,0.92024,0.926449,25,1
1,0.747337,-6.0048E+13,0.806,0.492076,0,-0.00087,1.000954,0.86199,0.864493,23,1
1,0.93127,-6.43371E+12,0.946,0.256959,0,-0.0004,1.000358,0.95962,0.965041,25,1
1,0.973123,0,0.976,0.160611,0.0004,0,0.999877,0.980608,0.986487,25,1
1,0.894042,-0.003,0.918,0.318823,0.0008,0,0.999645,0.938558,0.945562,25,1
1,0.935122,-0.365,0.949,0.249736,0,0,1.000683,0.962345,0.967032,25,1
1,0.911969,-1.001,0.933,0.290833,-0.0004,0.0004,1.000439,0.950353,0.954984,25,1
1,0.835059,-1.5012E+13,0.876,0.39796,0,-0.0004,1.000092,0.910931,0.913821,25,1
1,0.660616,-0.36,0.732,0.571006,0.0012,-0.0004,1.000368,0.80886,0.812796,25,1
1,0.741671,-3.005,0.801,0.497867,0,0,0.99975,0.856908,0.861213,25,1
1,0.807978,0.836,0.836,0.429232,-0.0004,-0.0004,0.999727,0.870395,0.899334,25,1
1,0.873925,-6.86263E+13,0.901,0.347575,0,-0.00087,1.000891,0.926812,0.934882,23,1
1,0.774894,-0.015,0.824,0.46447,-0.0004,0,0.999143,0.869583,0.880337,25,1
1,0.556602,-0.306,0.622,0.651091,0,0,0.997952,0.717734,0.746559,25,1
1,0.773745,-9.0072E+13,0.805,0.466532,0,0.0004,1.001029,0.846549,0.880309,25,1
1,0.501282,0.338,0.566,0.692101,-0.0008,-0.0004,1.000245,0.678371,0.708668,25,1
1,0.720645,-1.014,0.761,0.517764,-0.0008,0.0008,0.999812,0.814391,0.849635,25,1
1,0.214804,-3.0024E+13,0.231,0.868622,0,0.0008,1.000475,0.448673,0.463722,25,1
1,0.578705,-1.20096E+14,0.654,0.635956,0,0.0008,0.999996,0.749916,0.760805,25,1
1,0.780515,-1.008,0.824,0.458423,0.0004,-0.0004,0.998684,0.867283,0.883598,25,1
1,0.530101,-104.001,0.627,0.67239,0.000769,-0.08,1.000312,0.752521,0.732976,26,1
1,0.804542,-0.509,0.835,0.4328,-0.0008,0.0004,0.999137,0.870649,0.897338,25,1
1,0.992698,-1,0.991,0.083758,0.000385,0.001154,0.999594,0.990936,0.996355,26,1
1,0.75898,-0.018,0.812,0.481811,0.000385,0.000769,1.000846,0.863347,0.871237,26,1
1,0.692874,0.744,0.745,0.552569,0.0164,0.0168,1.017636,0.821516,0.832781,25,1
1,0.592993,0.657,0.657,0.625786,-0.000385,-0.000385,1.000326,0.745968,0.770458,26,1
1,0.796552,-0.509,0.831,0.442584,-0.000769,0.000385,1.000659,0.870308,0.892797,26,1
1,0.659532,-2.014,0.714,0.571997,0.000385,-0.000769,0.999706,0.78354,0.812629,26,1
1,0.960453,-1.001,0.947,0.195133,-0.000385,0.000385,1.000666,0.951203,0.980484,26,1
1,0.596794,-3.0024E+13,0.663,0.622622,0,0.000385,0.999948,0.751439,0.772819,26,1
1,0.831498,-8.69661E+13,0.893,0.402033,0,0.005385,0.998795,0.938246,0.912284,26,1
1,0.802352,0.235,0.848,0.435555,0.0016,0.0004,0.999911,0.889543,0.895763,25,1
1,0.523576,-4.5036E+13,0.606,0.676652,0,-0.000385,0.999736,0.719358,0.723597,26,1
1,0.932358,0.497,0.948,0.254891,-0.001538,-0.000769,0.999455,0.9599,0.965601,26,1
1,0.84296,-1.004,0.879,0.38826,-0.000385,-0.001154,0.999158,0.90959,0.918162,26,1
1,0.847048,-1.003,0.884,0.383556,-0.000385,0.000385,1.000158,0.915251,0.920368,26,1
1,0.993504,0.667,0.99,0.079081,0,0,1.000584,0.990689,0.996769,26,1
1,0.699493,-1.014,0.759,0.537845,-0.000769,0.000769,1.000568,0.823373,0.836469,26,1
1,0.793984,-0.012,0.844,0.445274,-0.000769,0,1.000448,0.888626,0.891063,26,1
1,0.752656,-1.009,0.809,0.488097,-0.000385,0.000385,1.000858,0.863488,0.867571,26,1
1,0.763857,-7.20576E+12,0.813,0.476623,0,-0.000769,1.00024,0.86215,0.874074,26,1
1,0.868716,-133,0.913,0.348061,0.000385,0.051923,0.979639,0.958616,0.934625,26,1
1,0.599372,-0.052,0.674,0.619755,0.000385,0,0.998541,0.76356,0.77425,26,1
1,0.905035,-6.0048E+13,0.918,0.302464,0,-0.000769,1.000944,0.934824,0.951496,26,1
1,0.789423,0.832,0.832,0.449675,-0.000385,-0.000385,0.999334,0.873418,0.888615,26,1
1,0.619269,0.695,0.695,0.604992,0.000385,0.000385,0.999902,0.781155,0.786957,26,1
1,0.822902,0.481,0.86,0.412418,0.000769,0.000385,0.99942,0.894103,0.907227,26,1
1,0.345571,-9.0072E+13,0.413,0.792309,0,-0.000769,0.998803,0.581467,0.587881,26,1
1,0.675501,-0.032,0.745,0.559186,-0.000385,-0.000769,1.001073,0.817894,0.821903,26,1
1,0.390269,-0.134,0.464,0.765818,0,0,1.000168,0.617816,0.624755,26,1
2,0.999999,0.999,1,0.00099,0.161373,0.161275,1.291181,1.291067,1,102,1
2,0.836639,0.422,0.851,0.404364,0.005466,0.002415,1.002583,0.879801,0.915471,236,1
2,1,1,1,0,0.597903,0.597903,1.157714,1.157714,1,62,1
2,1,1,1,0,0.206174,0.206174,1.099163,1.099163,1,149,1
2,0.569335,-0.088,0.651,0.672031,0.006633,0.013469,1.026669,0.772324,0.754576,196,1
2,0.899659,0.567,0.925,0.316372,0.003315,0.004728,1.001479,0.946898,0.948509,184,1
2,0.608476,-0.532,0.689,0.624662,0.000155,-0.000078,1.000251,0.779778,0.780049,258,1
3,0.982431,0.931,0.988,0.1325,0.000021,0.00002,1.000027,0.991695,0.991177,1273,1
3,0.827103,-0.239,0.872,0.41559,-0.00023,0.000053,0.999916,0.909957,0.909452,1132,1
3,0.844352,0.883,0.885,0.394456,-0.000615,-0.000628,1.000322,0.918931,0.918886,1019,1
3,0.849462,-0.129,0.889,0.387837,0.000202,-0.000025,1.000088,0.921171,0.921663,1023,1
3,0.629184,-130.039,0.707,0.60871,0.000002,-0.0003,0.999996,0.792297,0.793212,1302,1
3,0.629184,-130.039,0.707,0.60871,0.000002,-0.0003,0.999996,0.792297,0.793212,1302,1
3,0.982431,0.931,0.988,0.1325,0.000021,0.00002,1.000027,0.991695,0.991177,1273,1
3,0.983299,-6.109,0.988,0.129136,-0.000038,0.000231,0.999665,0.99128,0.991615,1272,1
3,0.864316,-0.198,0.902,0.367538,-0.002658,0.000514,0.998147,0.929688,0.929693,1382,1
3,0.963696,-5.932,0.974,0.190448,-0.000043,-0.000343,0.999911,0.981442,0.98168,1341,1
3,0.940774,-0.187,0.958,0.2433,0.000158,0.000344,1.000085,0.9706,0.969935,1441,1
3,0.893884,-1.849,0.924,0.32559,-0.000014,0.000026,1.000004,0.946378,0.945455,980,1
4,0.999979,1,1,0.004486,-0.118972,-0.118929,0.984554,0.98474,0.99999,719,1
