Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup
1	1	1	0.858271	-0.006000	0.368787	0.000400	0.000000	0.999794	0.920240	0.926449	25	-0.000000	0.892000	1.000000
1	2	1	0.747337	-60047995031606.000000	0.492076	-0.000000	-0.000870	1.000954	0.861990	0.864493	23	-0.000000	0.806000	1.000000
1	3	1	0.931270	-6433713753385.141602	0.256959	-0.000000	-0.000400	1.000358	0.959620	0.965041	25	-0.000000	0.946000	1.000000
1	4	1	0.973123	-0.000000	0.160611	0.000400	-0.000000	0.999877	0.980608	0.986487	25	-0.000000	0.976000	1.000000
1	5	1	0.894042	-0.003000	0.318823	0.000800	0.000000	0.999645	0.938558	0.945562	25	-0.000000	0.918000	1.000000
1	6	1	0.935122	-0.365000	0.249736	0.000000	-0.000000	1.000683	0.962345	0.967032	25	-0.000000	0.949000	1.000000
1	7	1	0.911969	-1.001000	0.290833	-0.000400	0.000400	1.000439	0.950353	0.954984	25	0.000000	0.933000	1.000000
1	8	1	0.835059	-15011998757901.001953	0.397960	0.000000	-0.000400	1.000092	0.910931	0.913821	25	-0.000000	0.876000	1.000000
1	9	1	0.660616	-0.360000	0.571006	0.001200	-0.000400	1.000368	0.808860	0.812796	25	-0.100000	0.732000	1.000000
1	10	1	0.741671	-3.005000	0.497867	0.000000	-0.000000	0.999750	0.856908	0.861213	25	0.000000	0.801000	1.000000
2	1	1	0.807978	0.836000	0.429232	-0.000400	-0.000400	0.999727	0.870395	0.899334	25	0.000000	0.836000	1.000000
2	2	1	0.873925	-68626280036118.484375	0.347575	-0.000000	-0.000870	1.000891	0.926812	0.934882	23	-0.100000	0.901000	1.000000
2	3	1	0.774894	-0.015000	0.464470	-0.000400	-0.000000	0.999143	0.869583	0.880337	25	0.000000	0.824000	1.000000
2	4	1	0.556602	-0.306000	0.651091	0.000000	-0.000000	0.997952	0.717734	0.746559	25	-0.000000	0.622000	1.000000
