Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup	BasinId	elev_mean	slope_mean	area_gages2	runoff_ratio	baseflow_index	stream_elas
1	1	0	0.884625	0.892	0.661432	1.684192	1.540386	1.947363	1.881744	0.94371	12503	-8.5	0.901	1	1013500	250.31	21.64152	2252.7	0.543437467	0.585225956	1.845324162
1	2	0	0.726474	0.781	1.300592	2.14504	1.973588	2.486907	2.132016	0.855121	12500	-8	0.785	1	1022500	92.68	17.79072	573.6	0.602268929	0.554478448	1.702782371
1	3	0	0.802029	0.842	1.032151	1.856153	1.728369	2.31985	2.091999	0.897265	12508	-6.9	0.848	1	1030500	143.8	12.79195	3676.17	0.555858983	0.508440713	1.377505203
1	4	0	0.757432	0.794	1.660879	2.021889	1.763511	3.372396	3.031294	0.874025	12499	-12.8	0.821	1	1031500	247.8	29.56035	769.05	0.576289279	0.445090526	1.648692987
1	5	0	0.709235	0.722	1.827081	2.159614	1.781202	3.388472	2.864047	0.849545	12498	-17.5	0.757	1	1047000	310.38	49.92122	909.1	0.656868435	0.473464931	1.510237549
1	6	0	0.736644	0.708	1.832427	2.28409	1.819336	3.570861	2.98909	0.868668	12491	-20.3	0.754	1	1052500	615.7	60.05183	383.82	0.64465182	0.459699942	1.025555476
1	7	0	0.524816	0.551	3.6358	2.74247	2.213691	5.274562	3.671893	0.732236	12469	-19.3	0.583	1	1054200	472.31	90.13951	180.98	0.671662858	0.437049818	1.35780829
1	8	0	0.579707	0.65	2.592542	2.223193	1.854566	3.999144	3.18668	0.767505	12474	-16.6	0.678	1	1055000	423.12	72.81304	250.64	0.652483627	0.438131658	1.366587125
1	9	0	0.765431	0.87	1.446611	1.861743	1.825847	2.98699	2.863952	0.878637	12486	-1.9	0.871	1	1057000	215.59	32.68445	190.92	0.510727008	0.474677471	1.28068088
1	10	0	0.76491	0.835	1.378133	1.680837	1.730683	2.842441	2.547765	0.875026	12456	3	0.837	1	1073000	37.67	4.75043	31.3	0.486206603	0.501891679	2.278788743
1	11	0	0.753421	0.864	1.241056	1.737799	1.689388	2.499371	2.404301	0.872782	12485	-2.8	0.866	1	1078000	346.92	49.77182	222.46	0.492803379	0.491188699	1.526653663
1	12	0	0.73741	0.762	1.49691	2.123821	1.987662	2.921288	2.386912	0.861117	12453	-6.4	0.766	1	1118300	36.7	8.76539	10.36	0.546404883	0.559172033	0.382857209
1	13	0	0.728307	0.755	1.436992	1.826182	1.689852	2.756975	2.252038	0.855724	12460	-7.5	0.762	1	1121000	141.54	16.99385	70.25	0.526493578	0.536306404	1.16604444
1	14	0	0.76922	0.827	1.183001	1.766371	1.732493	2.462654	2.16753	0.877165	12449	-1.9	0.828	1	1123000	120.1	17.14893	77.85	0.454295297	0.585541653	0.963139984
1	15	0	0.70116	0.76	1.618919	2.043888	1.805497	2.96158	2.552888	0.841464	12475	-11.7	0.775	1	1134500	450.54	47.54354	195.13	0.599172755	0.487598316	1.107874645
1	16	0	0.61465	0.695	2.038188	2.424622	2.118202	3.283479	2.686494	0.790033	12496	-12.6	0.707	1	1137500	784.85	110.13062	228.55	0.597226132	0.541710337	1.406600877
1	17	0	0.700369	0.765	1.023144	1.614013	1.523245	1.869221	1.568735	0.838289	12482	-5.6	0.767	1	1139000	373.34	43.10796	246.33	0.541536747	0.572169832	2.162962246
